year	forms	senses
707	1	1
726	2	2
731	3	3
735	7	7
749	8	8
755	9	9
770	10	10
778	12	12
785	13	13
786	14	14
803	15	15
805	18	19
811	19	20
822	20	21
823	21	22
824	22	23
826	24	25
830	25	26
831	26	27
832	29	31
833	30	32
835	33	38
839	36	41
845	36	42
847	42	48
848	43	49
849	44	50
851	45	51
854	51	57
855	53	59
858	55	61
862	57	63
864	58	64
868	59	65
869	60	66
883	61	67
888	64	70
889	65	71
893	66	72
894	68	74
897	71	77
898	74	82
900	80	89
901	81	90
902	82	91
904	83	92
905	87	96
909	90	99
911	90	100
917	91	101
918	92	102
921	93	104
931	97	109
934	98	110
937	102	114
940	106	118
943	107	119
944	109	123
946	110	124
950	111	125
955	113	127
956	117	132
961	118	134
964	119	135
967	121	138
969	124	141
970	125	142
971	330	435
972	331	436
973	331	437
975	335	441
977	336	442
978	337	444
980	338	445
985	340	447
990	341	448
993	346	457
994	348	459
997	348	460
1000	351	464
1001	353	466
1002	356	469
1006	357	470
1008	359	473
1014	364	478
1016	366	482
1018	367	483
1020	370	486
1023	372	488
1024	375	491
1032	377	493
1036	377	494
1038	379	496
1039	380	497
1042	383	501
1044	384	502
1045	385	503
1046	387	505
1048	389	507
1049	390	508
1050	391	509
1052	393	511
1065	395	513
1066	397	515
1068	397	516
1070	398	517
1085	399	518
1086	402	524
1087	404	526
1095	405	527
1100	408	530
1101	409	531
1122	411	533
1123	412	534
1124	414	536
1125	416	538
1127	418	540
1129	419	541
1131	422	544
1132	422	546
1137	423	547
1138	424	548
1154	457	598
1155	458	599
1166	460	602
1173	461	603
1175	462	604
1176	463	605
1178	465	608
1182	466	609
1185	467	610
1189	470	613
1190	471	614
1191	472	615
1192	475	618
1194	476	619
1195	477	620
1199	479	622
1200	481	625
1201	482	626
1202	483	627
1203	484	628
1204	485	629
1205	491	636
1207	494	639
1212	495	640
1214	498	643
1219	499	645
1220	500	647
1221	503	651
1222	511	660
1223	512	661
1224	513	662
1225	517	666
1226	519	668
1227	524	674
1228	530	683
1229	532	686
1230	533	687
1231	533	688
1232	534	689
1234	535	690
1235	536	691
1240	539	694
1241	541	696
1243	543	698
1244	544	699
1246	546	702
1247	547	703
1248	551	708
1249	552	709
1250	566	728
1251	572	735
1252	579	744
1253	580	745
1255	585	750
1256	588	753
1257	590	755
1258	602	769
1259	604	771
1260	608	775
1261	612	780
1262	613	781
1263	618	787
1264	620	789
1265	622	791
1266	625	794
1267	626	795
1268	627	796
1269	628	798
1271	629	799
1272	632	802
1273	635	805
1274	640	810
1275	650	823
1276	656	832
1277	661	837
1278	671	848
1279	678	857
1280	679	858
1281	685	865
1282	690	871
1283	694	875
1284	701	883
1285	702	884
1286	704	888
1287	713	899
1288	716	903
1289	719	906
1290	728	915
1291	731	918
1292	744	932
1293	755	944
1294	757	947
1295	782	976
1296	799	999
1297	1331	1753
1298	1339	1762
1299	1346	1770
1300	1362	1786
1301	1375	1801
1302	1375	1802
1303	1664	2204
1304	1668	2209
1305	1676	2221
1306	1680	2227
1307	1694	2245
1308	1696	2247
1309	1701	2253
1310	1711	2266
1311	1720	2279
1312	1725	2284
1313	1734	2295
1314	1744	2306
1315	1745	2309
1316	1752	2319
1317	1753	2320
1318	1761	2328
1319	1764	2333
1320	1767	2337
1321	1770	2341
1322	1779	2351
1323	1783	2355
1324	1796	2372
1325	1798	2375
1326	1804	2382
